id,name,lng,lat
425,Kern River Parkway Park,-119.075528567559,35.3702812570386
835,Skyline Wilderness Park,-122.235622070159,38.2676455726752
1385,Admiral William Standley State Recreation Area,-123.618587344774,39.6468008303525
1387,Ahjumawi Lava Springs State Park,-121.43301753717,41.1250487229534
1424,Azalea State Natural Reserve,-124.079668837667,40.9182501015952
1431,Benicia Capitol State Historic Park,-122.159002821763,38.0502876480388
1441,Big Basin Redwoods State Park,-122.24486201459,37.1659841795545
1446,Bothe-Napa Valley State Park,-122.53937735137,38.5396955211224
1448,Burleigh H. Murray Ranch,-122.381806990672,37.4565354521557
1466,Carpinteria State Beach,-119.520193362679,34.3916294586227
1474,Cayucos State Beach,-120.9055519968,35.4482250368046
1478,Chino Hills State Park,-117.731910318131,33.9133568806384
1482,Colonel Allensworth State Historic Park,-119.401210314557,35.8748155877907
1488,Cuyamaca Rancho State Park,-116.574248258947,32.933987507842
1491,Del Norte Coast Redwoods State Park,-124.05952488823,41.6985214836093
1503,Donner Memorial State Park,-120.27531569866,39.3062160422041
1504,Drum Barracks,-118.257782503651,33.7845023301653
1547,George J. Hatfield State Recreation Area,-120.958613050369,37.3544812244558
1548,Governor's Mansion State Historic Park,-121.484886499992,38.580109999998
1549,Gray Whale Cove State Beach,-122.513597536287,37.5643329497491
1552,Grizzly Creek Redwoods State Park,-123.927955360097,40.4830712073153
1558,Hearst San Simeon State Park,-121.201690445858,35.6439362202123
1568,Humboldt Lagoons State Park,-124.096900066016,41.2326282235014
1570,Humboldt Redwoods State Park,-123.964714879967,40.3147257757402
1576,Indian Grinding Rock State Historic Park,-120.642652118748,38.4254971049158
1580,Jedediah Smith Redwoods State Park,-124.108845350013,41.7867002264137
1582,John Little State Reserve,-121.632050570126,36.1197891993444
1591,Kings Beach State Recreation Area,-120.025272096523,39.2360992760187
1604,Leucadia State Beach,-117.307024926518,33.0685824232949
1615,Malibu Lagoon State Beach,-118.682063088862,34.0345710848416
1646,Morro Strand State Beach,-120.868121453882,35.3973878056278
1655,Natural Bridges State Beach,-122.057472708711,36.9522884259186
1659,Oceano Dunes State Vehicular Recreation Area,-120.620875628842,35.0412046350122
1669,Pacifica State Beach,-122.50043478179,37.6008222088321
1672,Pelican State Beach,-124.209140744244,41.9927386492807
1722,San Bruno Mountain State Park,-122.43320952171,37.7003986590961
1735,Santa Cruz Mission State Historic Park,-122.028118610959,36.9774583747943
1740,Schooner Gulch State Beach,-123.653223650093,38.8689267221185
1747,Sinkyone Wilderness State Park,-123.926654971923,39.9177197718385
1754,South Yuba River State Park,-121.063671829359,39.3105890089476
1757,Stone Lakes,-121.49102897062,38.3949166139789
1758,Stone Lakes National Wildlife Refuge,-121.494908127347,38.36527174449
1766,Tahoe State Recreation Area,-120.135682235599,39.1755077602362
1771,Tomo-Kahni State Historic Park,-118.335804966068,35.1438166885921
1772,Topanga State Park,-118.562297749755,34.0864697637969
1787,Wilder Ranch State Park,-122.106348407517,36.9917096161045
1793,Zmudowski State Beach,-121.803957035901,36.8398960359194
1823,Castaic Lake State Recreation Area,-118.611118717843,34.5391366470194
1836,Plumas-Eureka State Park,-120.702703361597,39.7601258995843
1955,Julia Pfeiffer Burns State Park,-121.68933588926,36.15724812986
1959,MacKerricher State Park,-123.78234023147,39.5075438522901
1964,Mono Lake Tufa State Reserve,-119.014976853375,38.0074722805745
1965,Morro Bay State Park,-120.815282508617,35.3404215733688
1981,Salt Point State Park,-123.326981625957,38.5811920981417
1993,Sonoma Coast State Park,-123.088370685589,38.4042945806023
1996,California Polytechnic State University,-121.856825842513,37.0242501531512
2079,Lake Calavera Preserve,-117.277849425958,33.1720973472607
2124,Lake Casitas Recreation Area,-119.347450259352,34.4152732827088
2257,Chino Hills Open Space,-117.743435085013,33.9793412230144
2318,City of Chula Vista Open Space,-117.017621902415,32.6421254758303
2452,Coachella Valley Association of Governments Reserve,-116.328350116641,33.8963946965104
2549,Conejo Canyons - Rancho Conejo Open Space - COSCA,-118.938519884603,34.220766947071
2844,Fairview Park,-117.939716854574,33.6641531962608
3081,Point St. George,-124.247288494585,41.7788428299824
3208,Anthony Chabot Regional Park,-122.111016230574,37.748466468852
3244,Coyote Hills Regional Park,-122.082755062761,37.5525160860934
3259,Dublin Hills Regional Park,-121.974015166178,37.7162604948441
3282,Leona Heights Regional Open Space,-122.151318205062,37.7819131907353
3312,Shadow Cliffs Regional Recreation Area,-121.840678634373,37.6690152201776
3319,Sobrante Ridge Regional Preserve,-122.263380536657,37.9670354017762
3446,Regional Park,-121.051337134622,38.6606409259319
3488,Brite Lake Park,-118.54252800928,35.1057229467115
3650,Serpas Ranch Open Space,-122.05613701744,38.2923209298875
3664,Monserate Mountain Preserve,-117.149228798574,33.3684187479405
4018,Santa Rosa and San Jacinto Mountains National Monument,-116.404398161442,33.5866411761659
4145,Brand Park,-118.276621474624,34.1822950193055
4153,City of Glendale Verdugo Mountains Open Space,-118.257273454,34.1987495560647
4179,San Rafael Mountains Open Space,-118.212284957364,34.1773314076466
4595,Salton Sea - Irrigation District,-115.805494944653,33.3130205652946
4689,Irvine holding 8,-117.767580393415,33.6330505589252
4798,Hart Memorial Park,-118.91150574821,35.446301137598
4801,Kern County Valley Floor Habitat Conservation Plan,-119.62745695359,35.6010671181085
4823,Tehachapi Mountain Park,-118.483083805307,35.0612500391462
5513,Los Angeles Department of Water and Power,-118.273721877105,36.9940323700743
5656,Griffith Park,-118.29855785242,34.1354713769464
5660,Hansen Dam Park,-118.389159244502,34.2690279312187
